yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1986,AL,CAL,ANA,W,1,162,82.0,92,70,Y,,N,N,786,5433,1387,236,36,167,671,860.0,109.0,42.0,,,684,621,3.84,29,12,40,4368,1356,153,478,955,107,156.0,0.98,California Angels,Anaheim Stadium,2655872.0,99,99,CAL,CAL,CAL,14427258
1986,AL,TEX,TEX,W,2,162,81.0,87,75,N,,N,N,771,5529,1479,248,43,184,511,1088.0,103.0,85.0,,,743,662,4.11,15,8,41,4350,1356,145,736,1059,120,160.0,0.98,Texas Rangers,Arlington Stadium,1692002.0,102,103,TEX,TEX,TEX,6743119
1986,AL,KCA,KCR,W,3,162,81.0,76,86,N,,N,N,654,5561,1403,264,45,137,474,919.0,97.0,46.0,,,673,611,3.82,24,13,31,4320,1413,121,479,888,123,153.0,0.98,Kansas City Royals,Royals Stadium,2320794.0,102,101,KCR,KCA,KCA,13043698
1986,AL,OAK,OAK,W,3,162,83.0,76,86,N,,N,N,731,5435,1370,213,25,163,553,983.0,139.0,61.0,,,760,686,4.31,22,8,37,4299,1334,166,667,937,135,120.0,0.97,Oakland Athletics,Oakland Coliseum,1314646.0,92,92,OAK,OAK,OAK,9779421
1986,AL,CHA,CHW,W,5,162,81.0,72,90,N,,N,N,644,5406,1335,197,34,121,487,940.0,115.0,54.0,,,699,630,3.93,18,8,38,4326,1361,143,561,895,117,142.0,0.98,Chicago White Sox,Comiskey Park,1424313.0,104,104,CHW,CHA,CHA,10418819
1986,AL,MIN,MIN,W,6,162,81.0,71,91,N,,N,N,741,5531,1446,257,39,196,501,977.0,81.0,61.0,,,839,759,4.77,39,6,24,4296,1579,200,503,937,118,168.0,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,1255453.0,102,102,MIN,MIN,MIN,8748167
1986,AL,SEA,SEA,W,7,162,82.0,67,95,N,,N,N,718,5498,1392,243,41,158,572,1148.0,93.0,76.0,,,835,743,4.65,33,5,27,4317,1590,171,585,944,156,191.0,0.97,Seattle Mariners,Kingdome,1029045.0,100,101,SEA,SEA,SEA,5958309
1986,NL,NYN,NYM,E,1,162,81.0,108,54,Y,,Y,Y,783,5558,1462,261,31,148,631,968.0,118.0,48.0,,,578,513,3.11,27,11,46,4452,1304,103,509,1083,138,145.0,0.97,New York Mets,Shea Stadium,2767601.0,98,96,NYM,NYN,NYN,15393714
1986,NL,PHI,PHI,E,2,161,80.0,86,75,N,,N,N,739,5483,1386,266,39,154,589,1154.0,153.0,59.0,,,713,621,3.85,22,11,39,4353,1473,130,553,874,137,157.0,0.97,Philadelphia Phillies,Veterans Stadium,1933335.0,104,104,PHI,PHI,PHI,11590166
1986,NL,SLN,STL,E,3,161,81.0,79,82,N,,N,N,601,5378,1270,216,48,58,568,905.0,262.0,78.0,,,611,549,3.37,17,4,46,4398,1364,135,485,761,123,178.0,0.98,St. Louis Cardinals,Busch Stadium II,2471974.0,100,99,STL,SLN,SLN,9875010
1986,NL,MON,WSN,E,4,161,80.0,78,83,N,,N,N,637,5508,1401,255,50,110,537,1016.0,193.0,95.0,,,688,616,3.78,15,9,50,4398,1350,119,566,1051,133,132.0,0.97,Montreal Expos,Stade Olympique,1128981.0,100,100,MON,MON,MON,11103600
1986,NL,CHN,CHC,E,5,160,80.0,70,90,N,,N,N,680,5499,1409,258,27,155,508,966.0,132.0,62.0,,,781,721,4.49,11,6,42,4335,1546,143,557,962,124,147.0,0.98,Chicago Cubs,Wrigley Field,1859102.0,107,108,CHC,CHN,CHN,17208165
1986,NL,PIT,PIT,E,6,162,81.0,64,98,N,,N,N,663,5456,1366,273,33,111,569,929.0,152.0,84.0,,,700,628,3.9,17,9,30,4350,1397,138,570,924,142,134.0,0.97,Pittsburgh Pirates,Three Rivers Stadium,1000917.0,102,103,PIT,PIT,PIT,10843500
1986,NL,HOU,HOU,W,1,162,81.0,96,66,Y,,N,N,654,5441,1388,244,32,125,536,916.0,163.0,75.0,,,569,510,3.15,18,19,51,4368,1203,116,523,1160,130,108.0,0.97,Houston Astros,Astrodome,1734276.0,97,96,HOU,HOU,HOU,9873276
1986,NL,CIN,CIN,W,2,162,81.0,86,76,N,,N,N,732,5536,1404,237,35,144,586,920.0,177.0,53.0,,,717,638,3.91,14,8,45,4404,1465,136,524,924,140,160.0,0.97,Cincinnati Reds,Riverfront Stadium,1692432.0,104,104,CIN,CIN,CIN,11906388
1986,NL,SFN,SFG,W,3,162,81.0,83,79,N,,N,N,698,5501,1394,269,29,114,536,1087.0,148.0,93.0,,,618,540,3.33,18,10,35,4380,1264,121,591,992,143,149.0,0.97,San Francisco Giants,Candlestick Park,1528748.0,95,95,SFG,SFN,SFN,8947000
1986,NL,SDN,SDP,W,4,162,81.0,74,88,N,,N,N,656,5515,1442,239,25,136,484,917.0,96.0,68.0,,,723,640,3.99,13,7,32,4329,1406,150,607,934,135,135.0,0.97,San Diego Padres,Jack Murphy Stadium,1805716.0,98,98,SDP,SDN,SDN,11380693
1986,NL,LAN,LAD,W,5,162,81.0,73,89,N,,N,N,638,5471,1373,232,14,130,478,966.0,155.0,67.0,,,679,607,3.76,35,14,25,4362,1428,115,499,1051,179,118.0,0.97,Los Angeles Dodgers,Dodger Stadium,3023208.0,93,93,LAD,LAN,LAN,14913776
1986,NL,ATL,ATL,W,6,161,81.0,72,89,N,,N,N,615,5384,1348,241,24,138,538,904.0,93.0,76.0,,,719,628,3.97,17,5,39,4272,1443,117,576,932,141,181.0,0.97,Atlanta Braves,Atlanta-Fulton County Stadium,1387181.0,105,106,ATL,ATL,ATL,17102786
1987,AL,DET,DET,E,1,162,81.0,98,64,Y,,N,N,896,5649,1535,274,32,225,653,913.0,106.0,50.0,,,735,650,4.02,33,10,31,4368,1430,180,563,976,122,147.0,0.98,Detroit Tigers,Tiger Stadium,2061830.0,96,95,DET,DET,DET,12122881
1987,AL,TOR,TOR,E,2,162,81.0,96,66,N,,N,N,845,5635,1514,277,38,215,555,970.0,126.0,50.0,,,655,604,3.74,18,8,43,4362,1323,158,567,1064,111,148.0,0.98,Toronto Blue Jays,Exhibition Stadium,2778429.0,102,101,TOR,TOR,TOR,10479501
